bc/l2_norm,bc/test_loss,bc/prob_true_act,bc/epoch,bc/l2_loss,bc/training_loss,bc/batch,bc/ent_loss,bc/samples_so_far,bc/entropy,bc/neglogp,batch_size
256.50030517578125,1.7851582765579224,0.16690309345722198,0,0.0,1.7885721921920776,0,-0.0017917376244440675,32,1.7917375564575195,1.7903639078140259,32
266.9184265136719,1.5383179187774658,0.24152065813541412,0,0.0,1.5206592082977295,500,-0.0016161213861778378,16032,1.6161212921142578,1.5222753286361694,32
275.87005615234375,1.5047258138656616,0.26292577385902405,1,0.0,1.415970802307129,1000,-0.0015220041386783123,32032,1.5220040082931519,1.4174927473068237,32
283.2718505859375,1.488067626953125,0.2188846468925476,1,0.0,1.6647355556488037,1500,-0.0014998491387814283,48032,1.4998490810394287,1.6662354469299316,32
289.2474670410156,1.4673693180084229,0.24710418283939362,2,0.0,1.489833950996399,2000,-0.0015190689591690898,64032,1.5190688371658325,1.4913530349731445,32
294.7174987792969,1.4580473899841309,0.23396818339824677,2,0.0,1.5461857318878174,2500,-0.0015054171672090888,80032,1.5054171085357666,1.5476911067962646,32
300.14111328125,1.4495278596878052,0.24908941984176636,3,0.0,1.5063625574111938,3000,-0.0015028038760647178,96032,1.5028038024902344,1.507865309715271,32
305.07598876953125,1.4505555629730225,0.27803468704223633,3,0.0,1.4041889905929565,3500,-0.0014328373363241553,112032,1.4328372478485107,1.405621886253357,32
309.6910095214844,1.4471698999404907,0.2822377383708954,4,0.0,1.4269944429397583,4000,-0.0014742260100319982,128032,1.4742259979248047,1.4284687042236328,32
314.2251281738281,1.4431791305541992,0.2927230894565582,4,0.0,1.3333874940872192,4500,-0.0014610557118430734,144032,1.4610556364059448,1.3348485231399536,32
319.32879638671875,1.441723346710205,0.2870124578475952,5,0.0,1.4233943223953247,5000,-0.0014327934477478266,160032,1.432793378829956,1.4248270988464355,32
324.2314147949219,1.4483132362365723,0.2797221541404724,5,0.0,1.3816555738449097,5500,-0.0014815476024523377,176032,1.481547474861145,1.3831371068954468,32
328.3256530761719,1.4466017484664917,0.2658683955669403,6,0.0,1.4306508302688599,6000,-0.001466895453631878,192032,1.466895341873169,1.4321177005767822,32
332.8774719238281,1.4373431205749512,0.2751266062259674,6,0.0,1.4140924215316772,6500,-0.0014771190471947193,208032,1.477118968963623,1.415569543838501,32
337.1539611816406,1.4414440393447876,0.26027655601501465,7,0.0,1.4205964803695679,7000,-0.0014526102459058166,224032,1.4526101350784302,1.4220490455627441,32
341.45452880859375,1.439717411994934,0.3123972713947296,7,0.0,1.2634291648864746,7500,-0.001409363467246294,240032,1.4093633890151978,1.2648385763168335,32
346.1277770996094,1.4536998271942139,0.27045804262161255,8,0.0,1.428991675376892,8000,-0.001448086928576231,256032,1.4480868577957153,1.4304397106170654,32
350.8014831542969,1.4406161308288574,0.2505734860897064,8,0.0,1.4783668518066406,8500,-0.0014850902371108532,272032,1.4850901365280151,1.4798519611358643,32
355.7934265136719,1.4355663061141968,0.32074689865112305,9,0.0,1.2341828346252441,9000,-0.0013558552600443363,288032,1.3558552265167236,1.2355387210845947,32
360.8099365234375,1.4402211904525757,0.2464776188135147,9,0.0,1.7138733863830566,9500,-0.0013924890663474798,304032,1.392488956451416,1.7152658700942993,32
365.7124328613281,1.4389599561691284,0.26295205950737,10,0.0,1.4865623712539673,10000,-0.00142273074015975,320032,1.4227306842803955,1.4879851341247559,32
370.9566650390625,1.44215989112854,0.2557319402694702,10,0.0,1.4587596654891968,10500,-0.0014428962022066116,336032,1.4428961277008057,1.4602025747299194,32
375.8026123046875,1.445857286453247,0.2688453793525696,11,0.0,1.4171236753463745,11000,-0.0013996653724461794,352032,1.399665355682373,1.4185233116149902,32
379.9348449707031,1.4415185451507568,0.30615195631980896,11,0.0,1.3457869291305542,11500,-0.0014051215257495642,368032,1.4051214456558228,1.3471920490264893,32
384.9341125488281,1.4363669157028198,0.2650892734527588,12,0.0,1.4336413145065308,12000,-0.0013957007322460413,384032,1.3957006931304932,1.4350370168685913,32
389.9197692871094,1.430326223373413,0.29390862584114075,12,0.0,1.3379950523376465,12500,-0.0013652282068505883,400032,1.3652281761169434,1.339360237121582,32
394.35174560546875,1.43134343624115,0.28950896859169006,13,0.0,1.3567553758621216,13000,-0.001449010451324284,416032,1.4490103721618652,1.3582043647766113,32
399.0113830566406,1.4354451894760132,0.29475104808807373,13,0.0,1.3143322467803955,13500,-0.0013793011894449592,432032,1.3793010711669922,1.315711498260498,32
404.2227783203125,1.4413079023361206,0.26354894042015076,14,0.0,1.393314242362976,14000,-0.0014727121451869607,448032,1.4727120399475098,1.3947869539260864,32
409.7403259277344,1.434340476989746,0.2687811851501465,14,0.0,1.4173088073730469,14500,-0.0014519145479425788,464032,1.4519144296646118,1.4187607765197754,32
413.8062438964844,1.4329270124435425,0.3039998710155487,15,0.0,1.3195374011993408,15000,-0.001345102908089757,480032,1.3451027870178223,1.3208825588226318,32
419.24127197265625,1.4344482421875,0.2779846787452698,15,0.0,1.3954766988754272,15500,-0.00143228261731565,496032,1.432282567024231,1.3969089984893799,32
422.8197937011719,1.4296127557754517,0.24189259111881256,16,0.0,1.5415680408477783,16000,-0.0014537059469148517,512032,1.453705906867981,1.54302179813385,32
428.78387451171875,1.4363254308700562,0.27256089448928833,16,0.0,1.4351084232330322,16500,-0.0013959849020466208,528032,1.3959848880767822,1.4365043640136719,32
432.56121826171875,1.4313483238220215,0.27938732504844666,17,0.0,1.4589321613311768,17000,-0.0014343144139274955,544032,1.4343143701553345,1.4603664875030518,32
